PR,322,PERAZA ROZADO. FEDERICO,people
PG,323,PEREZ GALLARDO RAFAEL,people
PE,324,PEREZ. GENARO,people
PR,325,PEREZ RUBIO. ENRIOUE,people
PV,326,PEREZ VEROIA. LUIS,people
PJ,327,PEZA. JUAN DE DIOS,people
PE,328,PILENTEL. EMILIO,people
PR,329,PINEDA. ROSENDO,people
PI,330,PINO. ROMAN,people
PJ,331,PITA. JOAQUIN,people
PT,332,PLIEGO. TRINIDAD,people
PP,333,PLIEGO Y PEREZ. ANTONIO,people
PY,334,PLIEGO Y PEREZ. LUIS,people
PA,335,POLA. ANGEL M.,people
PL,336,POMBO. LUIS,people
PJ,337,PORTILLA. JOSE,people
PF,338,PORTILLO. FRANCISCO DE P.,people
PE,339,PORTU. EDUARDO,people
PG,340,POUS. GUILLERMO,people
PA,341,PRADILLO. AGUSTIN,people
PR,342,PRADO. RAWN R.,people
PM,343,PRECIADO. MANUEL V.,people
PJ,344,PRIETO. JUAN,people
PM,345,PRIETO. MANUEL,people
RJ,346,RABAGO. JESUS M.,people
RF,347,RAMIREZ. FRANCISCO MODESTO,people
RM,348,RAMIREZ. MANUEL,people
RP,349,RAMS PEDRUEZA. ANTONIO,people
RT,350,RAMOS. TOMS E.,people
